제주어 문장,문제 단어,보기1,보기2,보기3,표준어 풀이
한입 먹젠 헤신디 바레기 먹어 불언!,바레기,바라다,쓰레기,아주 많이,한입만 먹으려고 했는데 아주 많이 먹어 버렸어!
어떵하여. 새 옷인디 버물어 불언.,버물어 ,버려져,더려워져,찢어져,"어떡해, 새 옷인데 더러워졌어."
여름엔 개역만 한 게 엇주게!,개역,미역,목욕,미숫가루,여름엔 미숫가루만 한 게 없지!
송이한테 속안 가레만 세시간 돌련!,가레,카레,갈대,맷돌,송이한테 속아 맷돌만 세시간 돌렸어!
곡기난 숨도 못 쉬켸!,곡기난,굶어,곡기를 끊어,목에 걸려,목에 뭐가 걸려 숨도 못 쉬겠어!
무사 이 놈삔 영 안 나왐서?,놈삔,머리핀,핀셋,무,왜 이 무는 이렇게 안 나오지?
크림스파게티를 계속 먹으니 속이 닐크랑 하네!,날크랑하다,느끼하다,속이 안 좋다,크림을 넣다,크림스파게티를 계속 먹으니 속이 느끼 하네!
만세! 대죽부레기가 강냉이로 변신한다!,대죽부레기,옥수수,죽쓰레기,죽밥,만세! 옥수수가 강냉이로 변신한다!
물꾸럭 라면,물꾸럭,문어,물고기,해물,문어 라면
배 뽕그랑하난 조립다,뽕그랑하다,불르다,동그랗다,뽕나다,배가 불러서 졸립다.
실려운 거 하영 먹지 말라,하영,많이,하얗게,적게,차가운거 너무 많이 먹지 말라
심벡하여도 소용엇일 거 같은디…,심벡하다,담백하다,겨뤄보다,명백하다,겨뤄 봐도 소용없을 거 같은데…
내일은 오토미구이 먹을 수 이시크라!,오토미,오토바이,오징어,옥돔,내일은 옥돔구이 먹을 수 있겠다!
영희네 우영은 잘 가꿔신데!,우영,우영,텃밭,자식,영희네 텃밭은 잘 가꿨네!
느네가 경 갈크난 참말로 을큰하다.,을큰하다,얼큰하다,칼칼하다,섭섭하다,너네가 그렇게 말하나깐 정말 섭섭하다.
큰 성 적시만 무사 경 함수꽈?,적시만,혼자만,몫만,밥만,큰형 몫만 왜 그렇게 많아요?
